entry_bar,exit_bar,side,entry_price,exit_price,quantity,pnl,exit_reason,confidence
4572,4577,BUY,24161.03,24181.71,1,0.68,TP,0.6552
4582,4590,BUY,24195.29,24217.46,1,2.17,TP,0.6325
4595,4598,SELL,24219.25,24197.44,1,1.82,TP,0.6595
4603,4620,BUY,24201.99,24235.9,1,13.91,TP,0.5439
4630,4654,BUY,24229.75,24203.36,1,-46.39,SL,0.4641
4660,4679,SELL,24214.56,24177.33,1,17.22,TP,0.5585
4684,4687,SELL,24179.66,24149.23,1,10.43,TP,0.582
4692,4700,BUY,24158.43,24182.21,1,3.78,TP,0.5532
4705,4715,BUY,24164.28,24189.41,1,5.13,TP,0.6623
4721,4748,SELL,24223.46,24201.09,1,2.37,TP,0.6623
4753,4763,BUY,24213.39,24251.75,1,18.36,TP,0.5374
4768,4793,SELL,24230.15,24275.05,1,-64.9,SL,0.4566
4798,4805,SELL,24276.34,24246.5,1,9.84,TP,0.712
4810,4818,SELL,24239.6,24216.24,1,3.36,TP,0.5642
4823,4826,SELL,24236.75,24210.24,1,6.51,TP,0.6609
4831,4833,BUY,24220.19,24240.85,1,0.66,TP,0.5028
4838,4845,SELL,24264.95,24237.35,1,7.6,TP,0.7056
4850,4856,SELL,24251.4,24280.36,1,-48.96,SL,0.4597
4861,4869,SELL,24268.84,24296.21,1,-47.36,SL,0.4551
4874,4875,SELL,24281.29,24233.6,1,27.7,TP,0.5598
4880,4884,SELL,24290.99,24247.35,1,23.64,TP,0.5849
4889,4896,SELL,24232.5,24197.54,1,14.96,TP,0.6761
4901,4914,SELL,24180.96,24153.38,1,7.58,TP,0.7829
4919,4928,SELL,24148.87,24127.98,1,0.89,TP,0.6392
4936,4955,BUY,24117.32,24092.58,1,-44.74,SL,0.5327
4960,4966,SELL,24083.93,24059.26,1,4.67,TP,0.7364
4971,4984,BUY,24084.62,24106.03,1,1.41,TP,0.5643
4989,4996,SELL,24080.83,24055.71,1,5.12,TP,0.712
5001,5012,SELL,24031.04,24008.75,1,2.29,TP,0.741
5017,5032,SELL,24012.55,23980.49,1,12.05,TP,0.7235
5037,5043,BUY,23986.45,24015.45,1,9.0,TP,0.4978
5050,5051,SELL,23996.8,24023.7,1,-46.9,SL,0.4817
5059,5076,SELL,24010.5,23991.2,1,-0.7,TP,0.7575
5081,5084,SELL,23985.0,24015.75,1,-50.75,SL,0.4725
5089,5103,SELL,23987.75,23962.39,1,5.36,TP,0.6151
5108,5112,SELL,23964.96,23945.69,1,-0.73,TP,0.677
5117,5122,BUY,23922.58,23943.16,1,0.58,TP,0.7727
5127,5129,SELL,23955.46,23984.8,1,-49.34,SL,0.5588
5134,5147,SELL,23972.3,23948.44,1,3.87,TP,0.6699
5152,5177,SELL,23954.01,23933.54,1,0.47,TP,0.5124
5182,5188,BUY,23912.68,23944.46,1,11.78,TP,0.475
5193,5212,SELL,23926.76,23902.93,1,3.83,TP,0.4542
5217,5219,SELL,23902.72,23877.17,1,5.54,TP,0.6709
5224,5243,SELL,23879.17,23859.52,1,-0.35,TP,0.5501
5248,5250,SELL,23838.18,23590.62,1,227.56,TP,0.7604
5255,5266,SELL,23589.63,23615.32,1,-45.69,SL,0.5303
5271,5274,BUY,23593.02,23568.14,1,-44.88,SL,0.8047
5279,5286,BUY,23607.37,23634.12,1,6.75,TP,0.8257
5291,5294,BUY,23660.88,23689.06,1,8.18,TP,0.7631
5299,5302,SELL,23673.11,23644.78,1,8.34,TP,0.7505
5307,5312,SELL,23622.22,23599.67,1,2.56,TP,0.6209
5317,5321,BUY,23621.47,23665.72,1,24.24,TP,0.6979
5326,5328,BUY,23641.08,23666.92,1,5.84,TP,0.5765
5333,5345,SELL,23710.01,23681.89,1,8.12,TP,0.7311
5350,5352,BUY,23690.34,23719.91,1,9.57,TP,0.7199
5358,5373,SELL,23751.05,23682.89,1,48.16,TP,0.8147
5378,5379,BUY,23679.14,23698.76,1,-0.38,TP,0.7111
5384,5400,SELL,23698.56,23728.05,1,-49.49,SL,0.6591
5405,5411,BUY,23702.99,23729.35,1,6.36,TP,0.7386
5416,5441,SELL,23734.15,23761.1,1,-46.95,SL,0.7535
5446,5451,SELL,23737.6,23712.34,1,5.26,TP,0.7323
5461,5480,SELL,23719.66,23668.88,1,30.77,TP,0.7034
5485,5498,BUY,23697.94,23727.0,1,9.07,TP,0.6947
5503,5508,BUY,23766.45,23806.04,1,19.59,TP,0.7128
5513,5515,SELL,23803.39,23828.07,1,-44.68,SL,0.8671
5520,5528,SELL,23790.09,23770.8,1,-0.71,TP,0.8301
5533,5540,SELL,23741.5,23770.4,1,-48.9,SL,0.6365
5545,5550,BUY,23719.99,23745.1,1,5.11,TP,0.6888
5555,5564,SELL,23742.7,23716.54,1,6.16,TP,0.7545
5569,5575,SELL,23733.55,23709.49,1,4.06,TP,0.7354
5580,5585,SELL,23670.71,23632.63,1,18.09,TP,0.6464
5590,5599,SELL,23629.07,23659.63,1,-50.56,SL,0.8047
5604,5607,SELL,23662.07,23635.73,1,6.34,TP,0.6072
