entry_bar,exit_bar,side,entry_price,exit_price,quantity,pnl,exit_reason,confidence
6663,6665,BUY,23571.36,23546.64,1,-44.72,SL,0.6884
6670,6676,BUY,23591.97,23557.14,1,-54.83,SL,0.6409
6681,6683,BUY,23557.86,23532.79,1,-45.07,SL,0.5844
6688,6692,BUY,23558.81,23581.78,1,2.97,TP,0.5851
6697,6710,BUY,23584.42,23607.63,1,3.21,TP,0.5344
6715,6722,BUY,23631.07,23590.98,1,-60.09,SL,0.8156
6727,6730,BUY,23599.87,23566.54,1,-53.33,SL,0.5974
6735,6736,BUY,23578.31,23549.69,1,-48.62,SL,0.6558
6741,6750,BUY,23570.91,23666.96,1,76.05,TP,0.6075
6755,6757,SELL,23727.85,23698.19,1,9.67,TP,0.7897
6762,6763,SELL,23701.21,23726.34,1,-45.14,SL,0.8363
6768,6785,SELL,23715.56,23756.4,1,-60.84,SL,0.8547
6790,6791,BUY,23708.89,23679.21,1,-49.68,SL,0.5168
6796,6798,SELL,23683.11,23664.08,1,-0.97,TP,0.5197
6803,6810,SELL,23652.22,23678.48,1,-46.27,SL,0.4949
6815,6818,SELL,23702.36,23735.85,1,-53.49,SL,0.7219
6824,6827,SELL,23718.2,23742.45,1,-44.24,SL,0.4577
6832,6843,SELL,23734.4,23764.6,1,-50.2,SL,0.7848
6848,6852,SELL,23755.55,23781.1,1,-45.56,SL,0.7491
6857,6875,SELL,23770.74,23795.96,1,-45.21,SL,0.788
6880,6893,SELL,23787.39,23816.31,1,-48.92,SL,0.7827
6898,6916,SELL,23823.73,23804.41,1,-0.68,TP,0.6535
6921,6990,SELL,23784.39,23811.06,1,-46.67,SL,0.619
6995,7008,SELL,23812.94,23840.67,1,-47.73,SL,0.542
7013,7019,SELL,23825.13,23849.17,1,-44.03,SL,0.7078
7024,7028,SELL,23824.68,23849.37,1,-44.69,SL,0.6818
7033,7060,SELL,23834.68,23860.32,1,-45.64,SL,0.7036
7065,7068,SELL,23825.73,23804.11,1,1.62,TP,0.5004
7073,7114,SELL,23793.89,23771.55,1,2.34,TP,0.6712
7119,7125,SELL,23746.5,23339.37,1,387.13,TP,0.7006
7130,7132,BUY,23285.06,23307.59,1,2.53,TP,0.7448
7137,7144,SELL,23333.78,23305.66,1,8.12,TP,0.4723
7149,7157,BUY,23261.9,23237.25,1,-44.65,SL,0.5293
7162,7163,SELL,23258.55,23238.95,1,-0.4,TP,0.6334
7168,7186,SELL,23248.5,23222.09,1,6.41,TP,0.6474
7191,7193,SELL,23230.85,23255.15,1,-44.3,SL,0.8275
7198,7207,SELL,23273.74,23299.16,1,-45.41,SL,0.4878
7212,7229,SELL,23295.19,23265.1,1,10.09,TP,0.6067
7234,7244,SELL,23245.45,23225.59,1,-0.14,TP,0.7992
7249,7252,SELL,23214.06,23239.2,1,-45.14,SL,0.7326
7257,7277,SELL,23237.75,23262.5,1,-44.75,SL,0.8047
7282,7298,SELL,23250.65,23228.14,1,2.51,TP,0.848
7303,7305,SELL,23249.25,23272.9,1,-43.65,SL,0.7585
7310,7344,SELL,23253.35,23278.5,1,-45.16,SL,0.7644
7349,7357,SELL,23260.0,23238.9,1,1.1,TP,0.8366
7362,7373,SELL,23211.06,23191.69,1,-0.63,TP,0.6757
7378,7387,SELL,23172.17,23198.99,1,-46.82,SL,0.8104
7392,7406,SELL,23210.66,23179.33,1,11.32,TP,0.5173
7411,7413,SELL,23161.17,23141.13,1,0.04,TP,0.8418
7418,7422,SELL,23120.57,23097.02,1,3.56,TP,0.5139
7427,7436,SELL,23128.97,23109.37,1,-0.4,TP,0.6411
7441,7457,BUY,23110.22,23077.33,1,-52.89,SL,0.8351
7462,7463,BUY,23062.71,23028.84,1,-53.87,SL,0.8157
7468,7472,BUY,22971.84,23006.3,1,14.45,TP,0.8797
7477,7480,BUY,22967.74,22988.2,1,0.46,TP,0.8258
7485,7488,BUY,22991.9,23028.49,1,16.59,TP,0.843
7493,7500,BUY,23068.46,23206.81,1,118.34,TP,0.9308
7505,7506,SELL,23291.79,23245.95,1,25.84,TP,0.6444
7511,7517,BUY,23264.35,23307.04,1,22.69,TP,0.8868
7522,7528,SELL,23265.2,23243.15,1,2.05,TP,0.7254
7533,7535,SELL,23237.55,23268.65,1,-51.1,SL,0.7131
7540,7563,SELL,23246.35,23213.69,1,12.66,TP,0.7542
7568,7571,SELL,23226.6,23265.7,1,-59.1,SL,0.7714
7576,7577,SELL,23250.5,23276.15,1,-45.65,SL,0.7198
7582,7583,SELL,23270.75,23285.16,1,-34.41,EOD,0.6271
